,cycle_epoch,train_loss,test_loss,train_acc,test_acc
0,0_0,6.769047262190248,6.697235326377713,1.6849020783373303,2.48
1,0_1,6.622626898481215,6.593066040350466,3.750124900079936,4.384
2,0_2,6.530975219824141,6.503186245353854,5.243617605915268,5.592
3,0_3,6.465140387689848,6.456843648638044,6.264675759392486,6.472
4,0_4,6.420288768984812,6.4306684610795,7.022819244604317,6.984
5,0_5,6.385404176658673,6.4123035255743535,7.5733163469224625,7.36
6,0_6,6.364208633093525,6.365741895169628,7.905862809752199,8.232
7,0_7,6.350669464428457,6.407935862638513,8.109449940047963,7.472
8,0_8,6.344536870503597,6.383703504289899,8.224982513988808,8.152
9,0_9,6.337330135891287,6.387553686998328,8.32396582733813,8.44
10,0_10,6.329773681055156,6.352156775338309,8.52443045563549,8.256
11,0_11,6.329149180655476,6.383250426272957,8.46947442046363,8.216
12,0_12,6.320268784972022,6.40754510918442,8.611236011191046,8.464
13,0_13,6.320905775379696,6.351737299743964,8.597809252597921,8.504
14,0_14,6.322292166266986,6.422653120391223,8.562524980015986,7.088
15,0_15,6.319931554756195,6.378804274967739,8.600307254196643,8.152
16,0_16,6.32185501598721,6.406552548311194,8.575014988009592,7.448
17,0_17,6.320393685051958,6.4000172079825886,8.647769284572341,8.072
18,0_18,6.319744204636291,6.558767391710865,8.6886740607514,7.568
19,0_19,6.315185351718625,6.377948181969779,8.74300559552358,8.464
20,0_20,6.315472621902478,6.382195268358503,8.744879096722622,7.96
21,0_21,6.301583733013589,6.3114398255640145,8.95970723421263,8.768
22,0_22,6.29982264188649,6.381218248484086,8.96376648681055,8.376
23,0_23,6.296899980015987,6.347529518360994,9.019347022382094,8.888
24,0_24,6.289668265387689,6.410692117652115,9.091789068745005,8.72
25,0_25,6.28765737410072,6.36820962964272,9.168290367705834,8.512
26,0_26,6.289730715427658,6.336223874773298,9.125512090327739,9.112
27,0_27,6.284947042366107,6.367890066030074,9.190772382094323,8.24
28,0_28,6.281799560351718,6.294439340124325,9.215752398081536,9.496
29,0_29,6.276828537170264,6.376071798558137,9.317233713029577,9.104
30,0_30,6.273793465227818,6.298656531742641,9.409035271782574,9.528
31,0_31,6.272232214228617,6.3119708761876945,9.348458733013588,9.216
32,0_32,6.2661121103117505,6.327067297332141,9.479291566746603,9.448
33,0_33,6.268035571542765,6.302640311572016,9.490844824140687,9.528
34,0_34,6.265837330135891,6.338617300500675,9.454623800959233,8.752
35,0_35,6.255533073541167,6.290760809061479,9.650716926458832,9.4
36,0_36,6.254396482813749,6.390499659946987,9.676009192645884,8.896
37,0_37,6.249113209432454,6.278164732212923,9.770308752997602,9.8
38,0_38,6.249800159872103,6.347800391060965,9.71566496802558,9.536
39,0_39,6.247389588329336,6.310831016423751,9.804656274980015,9.736
40,0_40,6.240757394084732,6.285383701324463,9.88802707833733,9.832
41,0_41,6.244342026378897,6.320654100301314,9.873663569144684,9.144
42,0_42,6.2385716426858515,6.2564860509366405,9.832446542765787,10.064
43,0_43,6.233738009592326,6.2898216442186,9.969212130295764,10.272
44,0_44,6.229866107114309,6.256227410569483,10.041654176658673,10.112
45,0_45,6.22976618705036,6.285291910171509,9.991069644284572,9.464
46,0_46,6.221535271782574,6.37812064131912,10.126898481215028,8.496
47,0_47,6.228567146282973,6.285496784716236,10.030100919264589,9.768
48,0_48,6.222571942446043,6.292452179655736,10.13251898481215,10.08
49,0_49,6.219162170263789,6.251532841701897,10.18029326538769,10.288
50,0_50,6.211818045563549,6.251067453501176,10.298323840927258,10.112
